# a
razprodaj (razprodaja), sam
razprodaj (razprodati), glag
staj (staja), sam
utaj (utaja), sam
vaj (vaja), sam
vdaj (vdaja), sam
vdaj (vdati se), glag
veleizdaj (veleizdaja), sam
vstaj (vstaja), sam
zakonodaj (zakonodaja), sam
barantaj (barantati), glag
bezljaj (bezljati), glag
bingljaj (bingljati), glag
blebetaj (blebetati), glag
brbljaj (brbljati), glag
brbotaj (brbotati), glag
brkljaj (brkljati), glag
capljaj (capljati), glag
čebljaj (čebljati), glag
čečkaj (čečkati), glag
razcefraj (razcefrati), glag
cepetaj (cepetati), glag
cingljaj (cingljati), glag
cmokaj (cmokati), glag
čmokaj (čmokati), glag
čofotaj (čofotati), glag
copotaj (copotati), glag
crkljaj (crkljati), glag
curljaj (curljati), glag
čvekaj (čvekati), glag
divjaj (divjati), glag
dodaj (dodati), glag
dokončaj (dokončati), glag
drdraj (drdrati), glag
frfotaj (frfotati), glag
gobcaj (gobcati), glag
godrnjaj (godrnjati), glag
goljufaj (goljufati), glag
grgraj (grgrati), glag
grizljaj (grizljati), glag
igraj (igrati), glag
izklesaj (izklesati), glag
izravnaj (izravnati), glag
izrezljaj (izrezljati), glag
izsesaj (izsesati), glag
izvohljaj (izvohljati), glag
jezikaj (jezikati), glag
kapljaj (kapljati), glag
kegljaj (kegljati), glag
klepetaj (klepetati), glag
klopotaj (klopotati), glag
klokotaj (klokotati), glag
skobacaj (skobacati), glag
afnaj (afnati), glag
bezaj (bezati), glag
hihitaj (hihitati), glag
izbezaj (izbezati), glag
končaj (končati), glag
kracaj (kracati), glag
okrepčaj (okrepčati), glag
krohotaj (krohotati), glag
kvantaj (kvantati), glag
lesketaj (lesketati), glag
mečkaj (mečkati), glag
mehčaj (mehčati), glag
meketaj (meketati), glag
mencaj (mencati), glag
migetaj (migetati), glag
migotaj (migotati), glag
momljaj (momljati), glag
mrmraj (mrmrati), glag
naphaj (naphati), glag
naplahtaj (naplahtati), glag
naravnaj (naravnati), glag
nasekljaj (nasekljati), glag
navdaj (navdati), glag
obdaj (obdati), glag
obveljaj (obveljati), glag
omehčaj (omehčati), glag
osedlaj (osedlati), glag
pacaj (pacati), glag
podaj (podati), glag
podivjaj (podivjati), glag
pokončaj (pokončati), glag
pokozlaj (pokozlati), glag
pomendraj (pomendrati), glag
popackaj (popackati), glag
poravnaj (poravnati), glag
ropotaj (ropotati), glag
posesaj (posesati), glag
poteptaj (poteptati), glag
prasketaj (prasketati), glag
prepoznaj (prepoznati), glag
prerešetaj (prerešetati), glag
pretentaj (pretentati), glag
priracaj (priracati), glag
veslaj (veslati), glag
priznaj (priznati), glag
prodaj (prodati), glag
ragljaj (ragljati), glag
ravnaj (ravnati), glag
razdaj (razdati), glag
razvozlaj (razvozlati), glag
rezgetaj (rezgetati), glag
pokesaj (pokesati), glag
sladkaj (sladkati), glag
spoznaj (spoznati), glag
ščebetaj (ščebetati), glag
šumljaj (šumljati), glag
trapaj (trapati), glag
trepljaj (trepljati), glag
zadaj (zadati), glag
zaigraj (zaigrati), glag
zašepetaj (zašepetati), glag
zavdaj (zavdati), glag
zavozlaj (zavozlati), glag
zaznaj (zaznati), glag
zgaraj (zgarati se), glag
požgečkaj (požgečkati), glag

# ak
bedak, sam
beljak, sam
besednjak, sam
bivak, sam
blazinjak, sam
blodnjak, sam
bodak, sam
božjak, sam
cikcak, sam
človečnjak, sam
črnodlak, prid
belodlak, prid
dečak, sam
desetak, sam
dijak, sam
divjak, sam
drevak, sam
dolgokrak, prid
drobnjak, sam
dvajsetak, sam
enak, prid
dvokrak, prid
enakokrak, prid
fak, sam
frak, sam
gosak, sam
graščak, sam
gumenjak, sam
jak, sam
jak, prid
junak, sam
južnjak, sam
kokodak, sam
kokošnjak, sam
korak, sam
korenjak, sam
koruznjak, sam
kozjak, sam
krak, sam
kvak, sam
lak, sam
lesenjak, sam
letak, sam
levak, sam
lijak, sam
lisjak, sam
medenjak, sam
mejak, sam
možak, sam
mračnjak, sam
mrak, sam
mrlak, sam
mrtvak, sam
narodnjak, sam
nečak, sam
neenak, prid
oblak, sam
očak, sam
okostnjak, sam
opičnjak, sam
orjak, sam
pak, sam
paličnjak, sam
pesjak, sam
pešak, sam
peščenjak, sam
petak, sam
plak, sam
polovnjak, sam
poltrak, sam
pomorščak, sam
poltovornjak, sam
